SKU;Name;Color;Category;Category position;Brand;Seller;Balance;Comments;Rating;Final Price;Min price;Max price;Average price;Base price;Basic Sale;Basic Sale Price;Promo Sale;SPP;SPP Price;Revenue potential;Lost profit;Lost profit percent;Days in stock;Days with sales;Average if in stock;Sales;Sales per day average;Revenue
26581;Колье;серебристый;Аксессуары/Бижутерия/Колье;7036;Peter Hahn;Отто-Сервис;0;0;0;4230;4230;4230;0;4230;0;4230;0;4;4060;0;0;0;0;0;0;0;0;0
62148;Брюки;темно-серый;Женщинам/Одежда/Брюки;59423;9 Monate;ООО Вайлдберриз;1;0;0;995;995;995;995;995;50;1990;0;5;945;1571;576;36.666666666667;19;1;0;1;0.033333333333333;995
65393;Джинсы;темно-синий;Женщинам/Одежда/Джинсы;-1;3Suisses;ООО Вайлдберриз;1;2;5;3773;3773;3773;0;3773;30;5390;0;5;3584;0;0;0;30;0;0;0;0;0
75212;Футболка-поло;синий;Мужчинам/Одежда/Футболки и майки/Футболка-поло;7463;Y.O.U;ООО Вайлдберриз;198;0;0;1090;1090;1090;0;1090;0;1090;0;5;1035;0;0;0;30;0;0;0;0;0
82498;Майка бельевая, 5 шт.;голубой, зеленый, розовый, желтый;Женщинам/Белье/Майки;3323;Otto;ООО Вайлдберриз;0;0;0;990;990;990;0;990;0;990;0;4;950;0;0;0;0;0;0;0;0;0
82733;Бейсболка с сеточкой, кепка тракер;коричневый;Аксессуары/Головные уборы/Бейсболка;4010;Goorin Brothers;ИП Семенов Дмитрий Сергеевич;1;1;5;3120;2829;3120;2996;4161;3;4290;25;4;2996;3456;460;13.333333333333;26;1;0;1;0.033333333333333;2996
93292;Шлепанцы;белый, черный;Обувь/Мужская/Шлепанцы и аквасоки/Шлепанцы;1704;adidas;ООО Вайлдберриз;19;86;4;1499;1499;1649;1599;1499;50;2999;0;5;1424;4797;0;0;30;3;0.1;3;0.1;4797
93713;Бутсы MUNDIAL TEAM;черный, белый;Спорт/Командные виды спорта/Футбол/Бутсы;8;adidas;ООО Вайлдберриз;1022;104;5;10999;10449;10999;10979.653266332;10999;0;10999;0;23;8469;2184951;0;0;30;30;6.6333333333333;199;6.6333333333333;2184951
98778;Бутсы MUNDIAL GOAL SHOES;черный, белый;Спорт/Командные виды спорта/Футбол/Бутсы;186;adidas;ООО Вайлдберриз;27;13;4;10999;10449;10999;10999;10999;0;10999;0;23;8469;318971;0;0;30;16;0.96666666666667;29;0.96666666666667;318971
99964;Фуражка;черный;Аксессуары/Головные уборы/Фуражка;-1;Goorin Brothers;ИП Семенов Дмитрий Сергеевич;0;56;4;2165;1813;2165;1989;2706;3;2790;20;5;2056;4590;612;13.333333333333;26;2;0.038461538461538;2;0.066666666666667;3978
99965;Фуражка;коричневый;Аксессуары/Головные уборы/Фуражка;106;Goorin Brothers;ИП Семенов Дмитрий Сергеевич;0;56;4;2165;1921;2165;0;2706;3;2790;20;4;2078;0;0;0;0;0;0;0;0;0
99966;Кепи Private;бежевый;Аксессуары/Головные уборы/Кепи;1130;Goorin Brothers;ИП Семенов Дмитрий Сергеевич;4;4;5;1976;1852;1976;1876.8;2470;0;2470;20;5;1877;9384;0;0;30;5;0.16666666666667;5;0.16666666666667;9384
99967;Фуражка;оливковый;Аксессуары/Головные уборы/Фуражка;626;Goorin Brothers;ИП Семенов Дмитрий Сергеевич;4;56;4;2165;1813;2165;1982;2706;3;2790;20;4;2078;7928;0;0;30;4;0.13333333333333;4;0.13333333333333;7928
100590;Платье;коричневый, красный, белый;Premium/Женщинам/Одежда/Платья, сарафаны, юбки/Платье;968;APART;ООО Вайлдберриз;1;2;5;1782;1782;1782;1782;1782;60;4455;0;5;1692;2138;356;16.666666666667;25;1;0;1;0.033333333333333;1782
101085;Постельное белье;салатовый, бежевый;Постельные принадлежности/Постельное белье;9629;1001 Каталог;ООО Вайлдберриз;0;0;0;3900;3900;3900;0;3900;0;3900;0;4;3744;0;0;0;0;0;0;0;0;0
106026;Перчатки;коричневый;Аксессуары/Перчатки и варежки/Перчатки;8613;Eleganzza;ООО Гретта;1;15;4;5370;4994;5370;0;5370;0;5370;0;5;5101;0;0;0;30;0;0;0;0;0
106122;Перчатки;антрацитовый;Аксессуары/Перчатки и варежки/Перчатки;8614;Eleganzza;ООО Гретта;3;17;4;6600;6138;6600;0;6600;0;6600;0;5;6270;0;0;0;30;0;0;0;0;0
108362;Перчатки;черный;Аксессуары/Перчатки и варежки/Перчатки;8615;Eleganse;Беломар ОДО;10;19;4;8507;8507;8507;0;8955;25;11940;5;5;8081;0;0;0;30;0;0;0;0;0
108364;Перчатки;черный;Аксессуары/Перчатки и варежки/Перчатки;8616;Eleganse;Беломар ОДО;3;8;5;6238;6238;6238;0;6567;25;8756;5;5;5926;0;0;0;30;0;0;0;0;0
108370;Перчатки;черный;Аксессуары/Перчатки и варежки/Перчатки;8617;Eleganse;Беломар ОДО;9;68;5;9221;9221;9221;0;9706;25;12942;5;5;8760;0;0;0;30;0;0;0;0;0
108371;Перчатки;коричневый;Аксессуары/Перчатки и варежки/Перчатки;8618;Eleganse;Беломар ОДО;3;68;5;8235;7888;8235;0;8668;25;11558;5;5;7823;0;0;0;30;0;0;0;0;0
108377;Перчатки;черный;Аксессуары/Перчатки и варежки/Перчатки;8619;Eleganse;Беломар ОДО;5;14;5;6091;6091;6091;0;6411;25;8549;5;5;5786;0;0;0;30;0;0;0;0;0
110235;Машинка комбайн;зеленый, белый;Игрушки/Игрушечный транспорт/Машинка;75;Bruder;ООО Вайлдберриз;118;29;4;4810;2527;4810;3013.5319148936;4810;9;5286;0;5;4569;141636;0;0;30;20;1.5666666666667;47;1.5666666666667;141636
110236;Машинка бульдозер;желтый;Игрушки/Игрушечный транспорт/Машинка;-1;Bruder;ООО Вайлдберриз;0;52;5;2950;1770;2950;1880.625;2950;0;2950;0;5;2802;164127;103947;63.333333333333;11;9;2.5454545454545;32;1.0666666666667;60180
